Sample in Buffer,Sample in Window,TRIGGER,pl_top_inst/ext2dtcm_icb_cmd_wdata[31:0],pl_top_inst/ext2itcm_icb_cmd_wdata[31:0],u_ila_0_ifu_o_pc[31:0],u_ila_0_ifu_o_ir_1[6:0],pl_top_inst/riscv_top_inst/u_e203_soc_top/u_e203_subsys_top/u_e203_subsys_main/u_e203_cpu_top/u_e203_cpu/u_e203_core/u_e203_ifu/u_e203_ifu_ifetch/ifu_o_ir_1[7:7],u_ila_0_ifu_o_ir_2[9:8],pl_top_inst/riscv_top_inst/u_e203_soc_top/u_e203_subsys_top/u_e203_subsys_main/u_e203_cpu_top/u_e203_cpu/u_e203_core/u_e203_ifu/u_e203_ifu_ifetch/ifu_o_ir_2[11:10],u_ila_0_ifu_o_ir_3[16:12],pl_top_inst/riscv_top_inst/u_e203_soc_top/u_e203_subsys_top/u_e203_subsys_main/u_e203_cpu_top/u_e203_cpu/u_e203_core/u_e203_ifu/u_e203_ifu_ifetch/ifu_o_ir[19:17],u_ila_0_ifu_o_ir[31:20],pl_top_inst/ext2dtcm_icb_cmd_ready,u_ila_0_ext2dtcm_icb_cmd_valid,u_ila_0_ext2itcm_icb_cmd_ready,u_ila_0_ext2itcm_icb_cmd_valid,u_ila_0_fshflg_ps
164,164,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
165,165,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
166,166,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
167,167,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
168,168,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
169,169,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
170,170,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
171,171,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
172,172,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
173,173,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
174,174,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
175,175,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
176,176,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
177,177,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
178,178,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
179,179,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
180,180,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
181,181,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
182,182,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
183,183,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
184,184,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
185,185,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
186,186,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
187,187,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
188,188,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
189,189,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
190,190,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
191,191,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
192,192,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
193,193,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
194,194,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
195,195,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
196,196,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
197,197,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
198,198,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
199,199,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
200,200,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
201,201,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
202,202,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
203,203,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
204,204,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
205,205,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
206,206,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
207,207,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
208,208,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
209,209,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
210,210,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
211,211,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
212,212,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
213,213,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
214,214,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
215,215,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
216,216,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
217,217,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
218,218,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
219,219,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
220,220,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
221,221,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
222,222,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
223,223,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
224,224,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
225,225,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
226,226,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
227,227,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
228,228,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
229,229,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
230,230,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
231,231,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
232,232,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
233,233,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
234,234,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
235,235,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
236,236,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
237,237,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
238,238,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
239,239,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
240,240,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
241,241,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
242,242,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
243,243,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
244,244,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
245,245,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
246,246,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
247,247,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
248,248,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
249,249,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
250,250,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
251,251,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
252,252,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
253,253,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
254,254,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
255,255,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
256,256,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
257,257,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
258,258,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
259,259,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
260,260,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
261,261,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
262,262,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
263,263,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
264,264,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
265,265,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
266,266,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
267,267,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
268,268,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
269,269,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
270,270,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
271,271,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
272,272,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
273,273,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
274,274,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
275,275,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
276,276,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
277,277,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
278,278,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
279,279,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
280,280,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
281,281,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
282,282,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
283,283,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
284,284,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
285,285,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
286,286,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
287,287,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
288,288,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
289,289,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
290,290,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
291,291,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
292,292,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
293,293,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
294,294,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
295,295,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
296,296,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
297,297,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
298,298,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
299,299,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
300,300,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
301,301,0,00000000,00000000,00000000,00,0,0,0,00,0,000,1,0,1,0,0
